"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test Description: Verify Verifier Can Able To Accept The Purchase Order Invoice Checklist","4656","Purchase Order Invoice CheckList Accept Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:49:11 IST 2025","passed","Tue May 27 18:49:15 IST 2025","com.source.classes.invoices.poinvoice.checklist.PoInvChecklistAcceptTest","PO Invoice Checklist Accept","com.source.classes.invoices.poinvoice.checklist.PoInvChecklistAcceptTest","accept"
"Test Description: Verify Buyer Can Able To Edit The Purchase Order Request","7827","Purchase Order Request Edit Test","GePS-HOPES_YEA PS Catalog Test Cases","Mon May 26 19:05:32 IST 2025","passed","Mon May 26 19:05:40 IST 2025","com.source.classes.purchaseorderrequests.edit.PorEditTest","Purchase Order Request Edit","com.source.classes.purchaseorderrequests.edit.PorEditTest","edit"
"Test Description: Verify Buyer Can Suspend The Requisition","24698","Requisition Buyer Suspend Test","GePS-HOPES_YEA PS Catalog Test Cases","Mon May 26 19:04:52 IST 2025","passed","Mon May 26 19:05:17 IST 2025","com.source.classes.requisitions.suspend.BuyerSuspendTest","Requisition Buyer Suspend","com.source.classes.requisitions.suspend.BuyerSuspendTest","suspend"
"Test Description: Verify Vendor Can Able To Submit The Quotation","20144","Quotation Submit Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:08:54 IST 2025","passed","Tue May 27 18:09:14 IST 2025","com.source.classes.requestforquotations.quote.QuoteTest","Request For Quotation Registered Vendor Quotation Submit","com.source.classes.requestforquotations.quote.QuoteTest","quote"
"Test Description: Verify Buyer Can Able To Send The Purchase Order To Vendor","6566","Purchase Order Send To Vendor Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:15:35 IST 2025","passed","Tue May 27 18:15:42 IST 2025","com.source.classes.purchaseorders.PoSendForVendorTest","Purchase Order Send For Vendor","com.source.classes.purchaseorders.PoSendForVendorTest","sendForVendor"
"Test Description: Verify Approver Can Able To Approve The Purchase Order Invoice","14275","Purchase Order Invoice Approve Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:33:48 IST 2025","passed","Tue May 27 18:34:02 IST 2025","com.source.classes.invoices.poinvoice.approve.PoInvApprovalTest","PO Invoice Approve","com.source.classes.invoices.poinvoice.approve.PoInvApprovalTest","approval"
"Test Description: Verify Buyer Can Able To Send The Purchase Order Request For Approval","9409","Purchase Order Request Send For Approval Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:14:43 IST 2025","passed","Tue May 27 18:14:53 IST 2025","com.source.classes.purchaseorderrequests.sendforapproval.PorSendForApprovalTest","Purchase Order Request Send For Approval","com.source.classes.purchaseorderrequests.sendforapproval.PorSendForApprovalTest","sendForApproval"
"Test Description: Verify Verifier Can Able To Accept The Work Order Invoice Checklist","4628","Work Order Invoice Checklist Accept Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:56:02 IST 2025","passed","Tue May 27 18:56:06 IST 2025","com.source.classes.invoices.woinvoice.checklist.WoInvChecklistAcceptTest","WO Invoice Checklist Accept","com.source.classes.invoices.woinvoice.checklist.WoInvChecklistAcceptTest","accept"
"Test Description: Verify Logistics Manager Can Assign The Dispatch Notes","5304","Dispatch Notes Assign Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:16:59 IST 2025","passed","Tue May 27 18:17:05 IST 2025","com.source.classes.dispatchnotes.assign.DnAssignTest","Dispatch Note Assign","com.source.classes.dispatchnotes.assign.DnAssignTest","assign"
"Test Description: Verify Requester Can Assign The User","5739","Inspections Assign Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:16:11 IST 2025","passed","Tue May 27 18:16:17 IST 2025","com.source.classes.inspections.assign.InsAssignTest","Inspection Assign","com.source.classes.inspections.assign.InsAssignTest","assign"
"Test Description: Verify Buyer Can Able To Suspend The Request For Quotation and Edit The Request For Quotation","12614","Request For Quotation Suspend Request For Quotation Edit Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:07:57 IST 2025","passed","Tue May 27 18:08:10 IST 2025","com.source.classes.requestforquotations.suspend.RfqSuspendRfqEditTest","Request For Quotation Suspend","com.source.classes.requestforquotations.suspend.RfqSuspendRfqEditTest","RfqSuspendRfqEditTestMethod"
"Test Description: Verify Requester Can Edit The Requisition","8209","Requisition Edit Test","GePS-HOPES_YEA PS Catalog Test Cases","Mon May 26 19:04:11 IST 2025","passed","Mon May 26 19:04:20 IST 2025","com.source.classes.requisitions.edit.EditTest","Requisition Edit","com.source.classes.requisitions.edit.EditTest","edit"
"Test Description: Verify Buyer Can Able To Create The Request For Quotation","7428","Request For Quotation Create Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:07:43 IST 2025","passed","Tue May 27 18:07:50 IST 2025","com.source.classes.requestforquotations.create.RfqCreateTest","Request For Quotation Create","com.source.classes.requestforquotations.create.RfqCreateTest","create"
"Test Description: Verify Vendor Can Able To Edit The Order Schedule","6181","Order Schedule Edit Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:15:54 IST 2025","passed","Tue May 27 18:16:00 IST 2025","com.source.classes.orderschedules.edit.OsEditTest","Order Schedule Edit","com.source.classes.orderschedules.edit.OsEditTest","edit"
"Test Description: Verify Requester Can Send The Requisition For Approval","5539","Requisition Send For Approval Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:06:48 IST 2025","passed","Tue May 27 18:06:53 IST 2025","com.source.classes.requisitions.sendforapproval.SendForApprovalTest","Requisition Send For Approval","com.source.classes.requisitions.sendforapproval.SendForApprovalTest","sendForApproval"
"Test Description: Verify Approver Can Able To Reject The Technical Evaluation","15221","Technical Evaluation Reject Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:09:43 IST 2025","passed","Tue May 27 18:09:58 IST 2025","com.source.classes.requestforquotations.technicalevaluation.TechnicalEvaluationRejectTest","Request For Quotation Technical Evaluation Reject","com.source.classes.requestforquotations.technicalevaluation.TechnicalEvaluationRejectTest","reject"
"Test Description: Verify Approver Can Able To Approve The Purchase Order Invoice","14123","Purchase Order Invoice Approve Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:49:27 IST 2025","passed","Tue May 27 18:49:41 IST 2025","com.source.classes.invoices.poinvoice.approve.PoInvApprovalTest","PO Invoice Approve","com.source.classes.invoices.poinvoice.approve.PoInvApprovalTest","approval"
"Test Description: Verify Vendor Can Quote","5029","Freight Forwarder Quote Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:17:30 IST 2025","passed","Tue May 27 18:17:35 IST 2025","com.source.classes.freightforwarderrequests.quote.FfrQuoteTest","Freight Forwarder Quote","com.source.classes.freightforwarderrequests.quote.FfrQuoteTest","quote"
"Test Description: Verify Verifier Can Able To Cancel The Purchase Order Invoice","0","Purchase Order Invoice Cancel Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:18:21 IST 2025","skipped","Tue May 27 18:18:21 IST 2025","com.source.classes.invoices.poinvoice.cancel.PoInvCancelTest","PO Invoice Cancel","com.source.classes.invoices.poinvoice.cancel.PoInvCancelTest","cancel"
"Test Description: Verify Vendor Can Create The Dispatch Notes","7933","Dispatch Notes Create Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:16:36 IST 2025","passed","Tue May 27 18:16:44 IST 2025","com.source.classes.dispatchnotes.create.DnCreateTest","Dispatch Note Create","com.source.classes.dispatchnotes.create.DnCreateTest","create"
"Test Description: Verify Buyer Manager Can Suspend The Requisition","25080","Requisition Buyer Manager Suspend Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:06:53 IST 2025","passed","Tue May 27 18:07:19 IST 2025","com.source.classes.requisitions.suspend.BuyerManagerSuspendTest","Requisition Buyer Manager Suspend","com.source.classes.requisitions.suspend.BuyerManagerSuspendTest","suspend"
"Test Description: Verify Logistics Manager Can Able To Make Ok For Invoice","5805","Work Order Ok For Invoice","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:21:24 IST 2025","passed","Tue May 27 18:21:30 IST 2025","com.source.classes.workorders.okforinvoice.WoOkForInvoiceTest","Work Order Ok For Invoice","com.source.classes.workorders.okforinvoice.WoOkForInvoiceTest","okForInvoice"
